# Column 1 = Input data size
# Column 2 = Avg time for ArrayListCollection add function
# Column 3 = Avg time for BinSearchCollection add function
# Column 4 = Avg time for HashTableCollection add function
# Column 5 = Avg time for BSTCollection add function
# All times are measured in milliseconds
0 0.00 0.00 0.00 0.00
1024 0.00 0.36 0.00 0.01
2048 0.00 0.69 0.00 0.03
3072 0.00 1.19 0.00 0.05
4096 0.00 1.39 0.01 0.05
5120 0.54 2.63 0.01 0.06
6144 0.00 2.37 0.02 0.08
7168 0.00 2.56 0.02 0.09
8192 0.00 3.70 0.02 0.11
9216 0.00 3.33 0.02 0.11
10240 1.10 4.27 0.02 0.12
11264 0.00 5.52 0.02 0.14
12288 0.00 5.15 0.02 0.16
13312 0.00 5.75 0.02 0.18
14336 0.00 6.17 0.02 0.17
15360 0.00 5.66 0.02 0.18
16384 0.00 6.32 0.02 0.20
17408 0.00 5.91 0.02 0.24
18432 0.00 7.17 0.04 0.24
19456 0.00 6.37 0.04 0.25
20480 2.66 11.87 0.04 0.26
21504 0.00 10.39 0.04 0.28
22528 0.00 10.89 0.04 0.27
23552 0.00 10.77 0.04 0.30
24576 0.00 10.40 0.04 0.30
25600 0.00 12.95 0.04 0.32
26624 0.00 10.97 0.04 0.33
27648 0.00 10.02 0.04 0.35
28672 0.00 15.66 0.04 0.35
29696 0.00 11.51 0.04 0.39
30720 0.00 11.91 0.04 0.41
31744 0.00 18.12 0.04 0.38
32768 0.00 10.71 0.04 0.41
33792 0.00 12.22 0.04 0.43
34816 0.00 12.44 0.04 0.43
