# Column 1 = Input data size
# Column 2 = Avg time for ArrayListCollection remove function
# Column 3 = Avg time for BinSearchCollection remove function
# Column 4 = Avg time for HashTableCollection remove function
# Column 5 = Avg time for BSTCollection remove function
# All times are measured in microseconds
0 0.00 0.00 0.00 0.00
1024 0.65 0.20 0.00 0.04
2048 1.75 0.40 0.00 0.08
3072 2.03 0.63 0.00 0.12
4096 3.12 0.78 0.00 0.17
5120 3.56 0.90 0.00 0.19
6144 4.49 1.69 0.00 0.23
7168 5.01 1.39 0.00 0.29
8192 5.54 2.01 0.00 0.32
9216 6.04 1.67 0.00 0.34
10240 6.57 1.80 0.00 0.37
11264 8.50 8.58 0.00 0.45
12288 10.52 2.53 0.00 0.45
13312 9.44 2.67 0.00 0.52
14336 9.59 2.85 0.00 0.51
15360 10.45 2.96 0.00 0.56
16384 10.94 3.10 0.00 0.61
17408 11.46 3.70 0.00 0.65
18432 13.58 3.78 0.00 0.67
19456 12.61 3.85 0.00 0.70
20480 13.39 3.61 0.00 0.75
21504 16.90 5.63 0.00 0.83
22528 16.63 5.35 0.00 1.25
23552 18.96 8.82 0.00 4.10
24576 36.55 5.67 0.00 0.94
25600 18.93 5.60 0.00 0.96
26624 21.00 5.39 0.00 0.98
27648 21.30 5.92 0.00 1.00
28672 19.86 5.61 0.00 1.06
29696 21.68 6.71 0.00 1.09
30720 20.84 5.84 0.00 1.14
31744 21.75 5.98 0.00 1.59
32768 22.56 8.32 0.00 1.21
33792 22.86 6.34 0.00 1.71
34816 23.40 6.94 0.00 1.26
