# Column 1 = Input data size
# Column 2 = Avg time for ArrayListCollection find-range function
# Column 3 = Avg time for BinSearchCollection find-range function
# Column 4 = Avg time for HashTableCollection find-range function
# Column 5 = Avg time for BSTCollection find-range function
# All times are measured in microseconds
0 0.00 0.00 0.00 0.00
1024 2.10 1.65 1.58 1.71
2048 3.39 3.29 3.57 2.50
3072 5.54 5.27 5.16 4.22
4096 7.29 7.02 6.83 5.51
5120 9.37 9.47 8.28 8.57
6144 12.55 10.68 10.08 8.48
7168 13.02 13.14 12.33 9.61
8192 14.89 14.65 13.50 11.84
9216 16.81 15.67 15.63 13.09
10240 22.94 17.90 17.03 14.58
11264 20.57 40.37 37.18 16.50
12288 40.05 39.33 42.12 34.79
13312 51.54 24.35 25.60 19.78
14336 27.10 27.41 24.75 21.17
15360 28.21 27.66 26.95 22.93
16384 30.43 28.94 27.91 22.87
17408 31.81 30.36 30.15 24.09
18432 32.12 31.69 31.39 24.89
19456 35.19 32.83 34.87 25.82
20480 35.89 33.98 34.31 27.11
21504 40.43 36.02 36.38 29.61
22528 39.92 37.06 37.83 30.77
23552 43.00 39.11 40.43 33.11
24576 44.19 47.40 41.92 36.63
25600 49.24 65.05 44.07 36.66
26624 49.16 45.75 45.54 57.16
27648 59.66 63.74 47.49 40.85
28672 65.75 49.22 74.11 42.62
29696 54.19 54.26 52.48 43.02
30720 71.66 52.55 66.26 46.36
31744 57.61 60.11 102.32 57.88
32768 99.90 57.49 56.96 47.22
33792 81.91 65.34 58.90 47.73
34816 64.23 60.39 60.31 50.48
